pid,name,desc,purl,imgurl,actualp,rrpp,brand,stockquant,category,currency,delcost,deltime,condition
"45376772931754","Fjallraven Womens High Coast Lite Shorts Black","Light, comfortable shorts for everyday use, weekends and travelling in warm climates. Well-fitting with an inside drawcord adjustment at the waist. Mid-thigh length with slits in the lower side seams. Made from quick-drying stretch fabric in recycled polyamide, they are always ready to accompany you out hiking, biking or on activities on or close to water. Light, comfortable stretch fabric in 100% recycled polyamide. Wicks away moisture and dries quickly. Great fit with an inside drawcord adjustment at the waist. Two hand pockets and a zippered back pocket. Lightweight, Packable, Quick-drying","https://thesportinglodge.myshopify.com/products/fjallraven-womens-high-coast-lite-shorts-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/FjallravenWomensHighCoastLiteShortsBlack2_10dba9dc-8ea7-4cf1-9507-43c42cfdfccb.jpg?v=1753706506","90.00","90.00","Fjallraven","1","SHORTS","GBP","3.95","2-3 working days","new"
"45376773783722","Fjallraven Womens Stina Jacket Indigo Blue","Made from durable G-1000® Lite with G-1000® Original reinforcing the shoulders, the Fjallraven Women's Stina Jacket in Indigo Blue is a practical everyday layer and one of the more wearable women's everyday jackets in the range. A fixed hood sits close around the face without blocking your view, while pre-shaped sleeves keep movement easy. Two vertical zipped pockets sit discreetly under the chest for small essentials, and a two-way front zip with an inner flap seals out the wind. The hem is adjustable and the cuffs fasten with buttons. The fabric can be treated with Greenland Wax for added water resistance. Features Outer: G-1000® Lite (65% recycled polyester, 35% organic cotton) with G-1000® Original reinforcements Fixed hood Pre-shaped sleeves Two-way front zip with inside flap Two vertical chest pockets and two hand pockets Adjustable hem and buttoned cuffs Adaptable with Greenland Wax Care: machine wash 40°C","https://thesportinglodge.myshopify.com/products/fjallraven-womens-stina-jacket-indigo-blue","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/Fjallraven-Womens-Stina-Jacket-Indigo-Blue---26517---1.jpg?v=1707748864","220.00","220.00","Fjallraven","1","JACKETS","GBP","3.95","2-3 working days","new"
"45376775323818","Goldwin Oversized T-Shirt White","Cotton T-shirt dedicated to high-quality material with relaxed silhouette. A smooth texture that is comfortable to wear with just the right amount of luster. Relaxed silhouette. Embroidered logo on the left sleeve.","https://thesportinglodge.myshopify.com/products/goldwin-oversized-t-shirt-white","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/Goldwin-Oversized-Tshirt-White.jpg?v=1785905228","95.00","130.00","Goldwin","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376783286442","Patagonia Better Sweater 1/4 Zip Fleece Black","The Mens Patagonia Better Sweater 1/4 Zip Fleece in Black is a pullover fleece which features an exposed quarter length zip on the left side of the chest with a fabric chin guard. The Patagonia Fleece features a high collar for extra warmth and a flat seam construction which reduces bulk and prevents rubbing. Exposed 1/4 length zip on the chest with a fabric chin guard Zipped pocket on the left side of the chest Raglan cut sleeves Stretch binding on the hem and cuffs High collar for extra warmth Flat-seam construction reduces bulk and prevents rubbing Patagonia fabric label on the chest Made with a high % of recycled polyester Bluesign approved product FairTrade sewn","https://thesportinglodge.myshopify.com/products/patagonia-better-sweater-1-4-zip-fleece-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/PatagoniaBetterSweater1_4ZipFleeceBlack.jpg?v=1768559182","120.00","120.00","Patagonia","1","FLEECE PULLOVERS","GBP","3.95","2-3 working days","new"
"45376787054762","Snow Peak DWR Seamless Pants Brown","The Snow Peak DWR Seamless Pants in Brown boast an incredibly high level of stretchability and comfort. The DWR coating provides durability and water-repellent properties. PRODUCT FEATURES: 88% Nylon / 12% Polyurethane","https://thesportinglodge.myshopify.com/products/snow-peak-dwr-seamless-pants-brown","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/Snow-Peak-DWR-Seamless-Pants-Brown---23442---1.jpg?v=1704976926","65.00","259.00","Snow Peak","1","TROUSERS","GBP","3.95","2-3 working days","new"
"45376788005034","Sunspel Womens Mid Sleeve T-Shirt Black","A flattering Women's Black T-shirt shape in soft carbon brush jersey, heavier than Sunspel's classic cotton jersey fabric. This is the ultimate transitional T-shirt with a longer mid sleeve length, a perfect layer for cooler days.","https://thesportinglodge.myshopify.com/products/sunspel-womens-mid-sleeve-t-shirt-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/SunspelWomensMidSleeveT-ShirtBlack.jpg?v=1785905228","50.00","80.00","Sunspel","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376788299946","Sunspel Womens Mid Sleeve T-Shirt White","A flattering Women's White T-shirt shape in soft carbon brush jersey, heavier than Sunspel's classic cotton jersey fabric. This is the ultimate transitional T-shirt with a longer mid-sleeve length, a perfect layer for cooler days.","https://thesportinglodge.myshopify.com/products/sunspel-womens-mid-sleeve-t-shirt-white","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/SunspelWomensMidSleeveT-ShirtWhite2.jpg?v=1785905228","50.00","80.00","Sunspel","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376801734826","Adidas Terrex Agravic Flox 2 Gore-Tex Bludaw / Blufus / Impora","Wet and muddy tracks are part of the experience, but wet feet do not have to be. Enjoy dry feet and a super light feeling as you head from road to terrain and back in these adidas trail running shoes. A breathable GORE-TEX membrane keeps water out, while ultralight Lightstrike shock absorption encourages speed and agility on challenging terrain. Secure grip on both wet and dry bases with the patterned ContinentalTM rubber outsole.","https://thesportinglodge.myshopify.com/products/adidas-terrex-agravic-flox-2-gore-tex-bludaw-blufus-impora","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/AdidasTerrexAgravicFlox2Gore-TexBludawBlufusImpora29775_1.jpg?v=1785905228","135.00","160.00","Adidas Terrex","1","TRAINERS & TRAIL","GBP","3.95","2-3 working days","new"
"45376802062506","Adidas Terrex Agravic Flox 2 Gore-Tex Cblack / Cblack / Impora","Wet, muddy trails are part of the experience, but wet feet don't need to be. Enjoy dry feet and a superlight feel as you move from road to trail and back in these adidas trail running shoes. A breathable GORE-TEX membrane seals out wet conditions while ultralight Lightstrike cushioning encourages speed and agility over rough terrain. Confident traction across wet and dry ground is a given with the lugged Continental™ Rubber outsole. Regular fit Lace closure Engineered mesh upper with mudguard and suede tongue Breathable and stable feel GORE-TEX lining LIGHTSTRIKE cushioning Weight: 320 g (size UK 8.5) Midsole drop: 8 mm Continental™ Rubber outsole Upper contains a minimum of 50% recycled content","https://thesportinglodge.myshopify.com/products/adidas-terrex-agravic-flox-2-gore-tex-cblack-cblack-impora","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/0005_Terrex25.05-Terrex25.05.23agravicflow3-JpegFullSize6000long.jpg?v=1785905228","135.00","160.00","Adidas Terrex","1","TRAINERS & TRAIL","GBP","3.95","2-3 working days","new"
"45376804225194","Adidas Terrex Free Hiker 2.0 Hiking Shoes Wonder Silver / Wonder Silver / Lucid Lemon","Adidas Terrex Free Hiker 2.0 Hiking Shoes are designed to take your outdoor exploration further. Crafted with a BOOST midsole, these shoes offer long-lasting cushioning and energy return, while the mesh upper with seamless overlays provides breathable comfort and a sock-like fit. The adaptive knit collar prevents dirt and debris from entering, and the Continental™ Rubber outsole ensures grip and stability in all terrains. What's more, the upper is made using a high-performance yarn that contains at least 50% Parley Ocean Plastic, recycled from beachside and ocean communities. The other 50% is recycled polyester. Key Features: Regular fit Lace closure Mesh upper with seamless overlays Snug feel External heel clip and EVA stabilisation frame BOOST midsole Continental™ Rubber outsole Yarn in the upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester","https://thesportinglodge.myshopify.com/products/adidas-terrex-free-hiker-2-0-hiking-shoes-wonder-silver-wonder-silver-lucid-lemon","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Adidas-Terrex-Free-Hiker-2.0-Hiking-Shoes-Wonder-Silver-_-Wonder-Silver-_-Lucid-Lemon_0006_Layer-1_3758ebfd-90e0-4f4b-809c-3610fed30b73.jpg?v=1713933093","145.00","170.00","Adidas Terrex","1","TRAINERS & TRAIL","GBP","3.95","2-3 working days","new"
"45376804585642","Adidas Terrex Graphic Mountain 2.0 T-Shirt Black","Experience comfort and let your imagination roam freely with this Adidas Terrex t-shirt, designed to provide ultimate comfort after a day of adventure: Material: Crafted from soft cotton jersey, this t-shirt ensures a gentle and comfortable feel against your skin. It's the perfect choice for unwinding after a long day of outdoor exploration. Design: Featuring a bold Terrex graphic on the back, this t-shirt adds an adventurous and outdoorsy touch to any outfit. Whether you're in your backyard or exploring remote locations, this t-shirt complements your style and showcases your love for the outdoors. Partnership: Adidas partners with Better Cotton to support and improve global cotton farming practices. Better Cotton focuses on making cotton production better for the people involved, the environment, and the future of the cotton sector. The use of Better Cotton in this t-shirt reflects Adidas' commitment to sustainable and responsible sourcing. Sourcing: Better Cotton used in this t-shirt is sourced through a chain-of-custody model called mass balance. While Better Cotton may not be physically traceable to the end product, it ensures that the demand for Better Cotton benefits the farmers who produce it in equivalent volumes. The adidas Terrex t-shirt is more than just a comfortable piece of clothing; it represents a commitment to sustainability, comfort, and an adventurous spirit. Whether you're relaxing at home or venturing into the great outdoors, this t-shirt is designed to accompany you on your journey.","https://thesportinglodge.myshopify.com/products/adidas-terrex-graphic-mountain-2-0-t-shirt-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Adidas-TERREX-Terrex-Mountain-2.0-Tee-Black-1_75b8715a-a47e-464d-9e87-be407e104e0a.jpg?v=1713932983","10.00","30.00","Adidas Terrex","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376804815018","Adidas Terrex Graphic MTN 2.0 T-Shirt White","Featuring a soft cotton jersey fabric, this adidas Terrex t-shirt provides a comfortable wear that endures long outdoor forays. The bold Terrex graphic on the back evokes an adventurous atmosphere no matter the location. Regular fit Ribbed crewneck 100% cotton single jersey Terrex back graphic Made with Better Cotton","https://thesportinglodge.myshopify.com/products/adidas-terrex-graphic-mtn-2-0-t-shirt-white","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Terrex-Graphic-MTN-2.0-T-shirt-White_40aac554-123f-4a86-9da8-1fcfff0909a8.jpg?v=1785905168","10.00","30.00","Adidas Terrex","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376805142698","Adidas Terrex Logo T-Shirt Black","This adidas Terrex t-shirt is made of a blend of at least 70% recycled and renewable materials. Its soft cotton fabric provides optimal comfort for everyday use and is a great choice for rest days when you want to relax while monitoring your workout results. Regular fit Ribbed crewneck 70% cotton, 30% recycled cotton single jersey","https://thesportinglodge.myshopify.com/products/adidas-terrex-logo-t-shirt-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Terrex-logo-T-shirt-Black_cbba4464-9c74-4169-8ee3-3676c6e71ae5.jpg?v=1785905168","10.00","30.00","Adidas Terrex","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376805306538","Adidas Terrex Logo T-Shirt Grey","Only one thing beats the feeling of satisfaction following a long run — pulling on this soft cotton adidas Terrex t-shirt. With its comfy, everyday feel, this tee is a go-to for routine days and lounging as you scroll through your workout stats. Recovery accomplished. Regular fit Ribbed crewneck 70% cotton, 30% recycled cotton single jersey","https://thesportinglodge.myshopify.com/products/adidas-terrex-logo-t-shirt-grey","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/adidas_terrex_logo_t-shirt_grey_00004.webp?v=1714129907","10.00","35.00","Adidas Terrex","1","S/S TEES","GBP","3.95","2-3 working days","new"
"45376805699754","Adidas Terrex Mt Rr Jacket 2. 0 Black","This adidas hiking jacket keeps you dry and feeling ready for the adventure ahead. Breathable and fully seam-sealed with an adjustable hem, hood and cuffs, it stands up to foul weather. RAIN.RDY blocks wind and channels rain away from your body. The shoulder seams are shifted back for extra comfort when wearing a backpack. Zip your keys and smart phone or other important items inside the inner pocket and head out in the right frame of mind. Made with a series of recycled materials, and at least 60% recycled content, this product represents just one of our solutions to help end plastic waste. • Regular fit • Full zip with adjustable hood and chin guard • Waterproof 100% recycled plain woven polyester and ripstop • Mesh lining • RAIN.RDY • Front zip pockets and inner zip pocket • Adjustable cuffs • Slightly longer back with Terrex adjustable hem • Fully seam-sealed • Ripstop","https://thesportinglodge.myshopify.com/products/adidas-terrex-mt-rr-jacket-2-0-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/AdidasMtRrJacket2.0Black.jpg?v=1785905169","50.00","120.00","Adidas Terrex","1","JACKETS","GBP","3.95","2-3 working days","new"
"45376805798058","Adidas Terrex MT Softshell Jacket Black","Move unrestricted in this adidas jacket. Its slim fit design, stretchy fabric, and elasticized cuffs and hem provide a secure fit that keeps warmth in. The wind- and water-resistant exterior allows for outdoor activities no matter the conditions. Crafted with recycled materials, this piece includes at least 60% recycled content and is one of many solutions to plastic pollution. Regular fit Full zip with hood 90% recycled polyester, 10% elastane dobby Stretchy water-repellent soft shell fabric Oversized front zip pockets Partial-elastic cuffs and hem Wind and water resistant PFC-free water-repellent finish Reflective details","https://thesportinglodge.myshopify.com/products/adidas-terrex-mt-softshell-jacket-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Adidas-Terrex-MT-Softshell-Jacket-Black_0000_Layer-3_f2f1ff9b-1cc9-4876-86b2-e7b6687d3228.jpg?v=1713933074","45.00","110.00","Adidas Terrex","1","JACKETS","GBP","3.95","2-3 working days","new"
"45376806060202","Adidas Terrex Multi Insulation Jacket Black","Outfit yourself for the journey with this Adidas jacket as you set out. Whether for a weekend hike or all day trek, the quilt-stitched insulation provides warmth and protection whatever the climate. Elasticated cuffs and hems help block out the chill, and the body-mapped construction maintains a comfortable temperature as you ascend the switchbacks. When things start heating up, simply pack it away into its pocket until you reach the summit. Constructed with a series of recycled materials, this product contains at least 70% recycled content, helping to combat plastic waste. Features: Regular fit Full zip with stand-up collar and chin guard Shell: 100% recycled nylon plain weave Padding: 100% recycled polyester PFC-free water-repellent finish Side zip pockets Pack-it pocket Reflective details Vegan alternative","https://thesportinglodge.myshopify.com/products/adidas-terrex-multi-insulation-jacket-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Adidas-Terrex-Multi-Insulation-Jacket-Black_0001_Layer-5_36548416-be56-42d3-8d1e-b6e65aa2d69a.jpg?v=1713933079","55.00","140.00","Adidas Terrex","1","JACKETS","GBP","3.95","2-3 working days","new"
"45376808386730","Adidas Terrex Swift R3 Mid Gore-Tex Hiking Shoes Bludaw  / Grefou / Impora","Gear up for the adventure in these men's Swift R3 Mid GORE-TEX boots from adidas Terrex. In a Core Black colourway, these boots have a breathable mesh upper with supportive seamless overlays. They feature a waterproof GORE-TEX membrane for lasting wear, and have a speed lacing system with a padded mid-cut collar for a secure fit. They have a molded sockliner and a cushioned EVA midsole for comfy wear, and a grippy Continental Rubber outsole for total traction when you take on the terrain. Finished with signature adidas branding throughout","https://thesportinglodge.myshopify.com/products/adidas-terrex-swift-r3-mid-gore-tex-hiking-shoes-bludaw-grefou-impora","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/AdidasTerrexSwiftR3MidGore-TexHikingShoesBludawGrefouImpora29771_1.jpg?v=1785905170","140.00","165.00","Adidas Terrex","1","TRAINERS & TRAIL","GBP","3.95","2-3 working days","new"
"45376809664682","Adidas Terrex Trailmaker Mid Cold.Rdy Hiking Boots Shadow Brown / Wonder Silver / Semi Flash Aqua","The Adidas Terrex Trailmaker Mid Cold.Rdy Hiking Boots are designed for those who love adventure, even in cold weather. Here's what you can expect: Features: COLD.RDY Insulation: These boots are equipped with COLD.RDY technology provides excellent insulation to keep your feet warm and comfortable in cold conditions. Traxion Outsole: The Traxion outsole offers exceptional grip in all directions, ensuring you stay steady on various terrains. Lightweight Design: These boots are lightweight, allowing you to move quickly and comfortably as you transition from town to trail and back. Recycled Materials: They are made with recycled materials, which include production waste like cutting scraps and post-consumer household waste. This eco-friendly approach helps reduce the environmental impact of manufacturing. Whether you're hiking or simply exploring the outdoors, these boots provide the warmth, comfort, and grip you need. Plus, their use of recycled materials reflects a commitment to sustainability.","https://thesportinglodge.myshopify.com/products/adidas-terrex-trailmaker-mid-cold-rdy-hiking-boots-shadow-brown-wonder-silver-semi-flash-aqua","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/AdidasTerrexTrailmakerMidCold.RdyHikingBootsShadowBrown_WonderSilver_SemiFlashAqua.jpg?v=1785905169","100.00","120.00","Adidas Terrex","1","TRAINERS & TRAIL","GBP","3.95","2-3 working days","new"
"45376810352810","Adidas Terrex Utilitas Rr Jacket Black","The adidas Terrex Utilitas Rr Jacket Black is the best rain shell that you will actually bring with you, and there's always room for this lightweight adidas rain jacket on your packing list. The look is inspired by the iconic Xploric jacket, while the performance is inspired by staying dry and on the move in wet weather. Whether your plans range high or low, RAIN.RDY seals out wind and water to keep you comfortable when the weather turns wet and windy. Regular fit Two-way full zip with adjustable hood 100% recycled polyester plain weave RAIN.RDY 2.5-layer construction","https://thesportinglodge.myshopify.com/products/adidas-terrex-utilitas-rr-jacket-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/AdidasUtilitasRrJacketBlack.jpg?v=1785905169","70.00","180.00","Adidas Terrex","1","JACKETS","GBP","3.95","2-3 working days","new"
"45376810549418","Adidas Terrex Womens Free Hiker 2 Gore-Tex Hiking Shoes Wonder Steel / Core Black / Linen Green","Take on the outdoors in style and comfort with the TERREX Free Hiker 2 GORE-TEX. Feel confident in most weather conditions thanks to the breathable GORE-TEX membrane and Continental™ rubber outsole. Enjoy your hikes with the updated design. Regular fit Lace closure Abrasion-resistant mesh upper with moulded toe cap and external heel clip GORE-TEX lining EVA stabilisation frame BOOST midsole Continental™ Rubber outsole Upper contains a minimum of 50% recycled content","https://thesportinglodge.myshopify.com/products/adidas-terrex-womens-free-hiker-2-gore-tex-hiking-shoes-wonder-steel-core-black-linen-green","https://cdn.shopify.com/s/files/1/0600/7789/9946/products/29037_1.jpg?v=1785905169","170.00","200.00","Adidas Terrex","1","TRAINERS & TRAIL","GBP","3.95","2-3 working days","new"
"45376811303082","Adidas Terrex Xperior 2L Lined Rain.Rdy Anorak Black","The Adidas Terrex Xperior 2L Lined RAIN.RDY Anorak is your go-to choice for staying protected and stylish, whether you're conquering mountain slopes or exploring the great outdoors. This anorak is designed with advanced waterproofing technology, offering superior storm coverage that extends beyond the resort. Key Features: RAIN.RDY Waterproofing: This anorak is equipped with Adidas RAIN.RDY technology, featuring advanced waterproof materials and construction. It's designed to keep water out, ensuring you stay dry even in wet conditions. Two-Layer Construction: The anorak features a two-layer construction that provides not only waterproofing but also increased comfort. You can confidently face changing weather conditions with ease. Ski-Designed Details: Designed with skiers in mind, this anorak includes thoughtful features such as an integrated snow skirt and zip vents. These elements allow you to adapt to varying conditions, making it an ideal choice for winter sports enthusiasts. Practical Pockets: The anorak boasts a dedicated pass pocket, ensuring you have quick access to essential items on the slopes. Additionally, it comes with an attached lens cloth, adding convenience to your outdoor adventures. Eco-Friendly: Adidas is committed to sustainability, and this product reflects that commitment. It incorporates recycled materials, with at least 70% recycled content, contributing to the reduction of plastic waste and environmental conservation. The Adidas Terrex Xperior 2L Lined RAIN.RDY Anorak is a versatile and eco-friendly outdoor companion that provides reliable waterproofing and comfort. Whether you're skiing down slopes or exploring nature's wonders, this anorak has you covered in both style and functionality.","https://thesportinglodge.myshopify.com/products/adidas-terrex-xperior-2l-lined-rain-rdy-anorak-black","https://cdn.shopify.com/s/files/1/0600/7789/9946/files/Adidas-Terrex-Xperior-2L-Lined-Rain.Rdy-Anorak-Black_3c07bf30-793a-4c37-8d3d-31c4ab59e96e.jpg?v=1785905168","100.00","250.00","Adidas Terrex","1","JACKETS","GBP","3.95","2-3 working days","new"
